,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
76,0 days 01:28:51.499000,LEC,16,97.206,20.0,2.0,,,0 days 00:00:31.067000,0 days 00:00:42.377000,0 days 00:00:23.762000,0 days 01:27:45.344000,0 days 01:28:27.721000,0 days 01:28:51.483000,227.0,251.0,282.0,291.0,False,MEDIUM,3.0,True,Ferrari,0 days 01:27:14.293000,2025-04-13 15:35:28.560,1,4.0,False,,False,True
77,0 days 01:30:28.892000,LEC,16,97.393,21.0,2.0,,,0 days 00:00:31.197000,0 days 00:00:42.385000,0 days 00:00:23.811000,0 days 01:29:22.680000,0 days 01:30:05.065000,0 days 01:30:28.876000,,253.0,282.0,302.0,False,MEDIUM,4.0,True,Ferrari,0 days 01:28:51.499000,2025-04-13 15:37:05.766,1,4.0,False,,False,True
78,0 days 01:32:06.255000,LEC,16,97.363,22.0,2.0,,,0 days 00:00:31.076000,0 days 00:00:42.343000,0 days 00:00:23.944000,0 days 01:30:59.952000,0 days 01:31:42.295000,0 days 01:32:06.239000,226.0,254.0,282.0,305.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:30:28.892000,2025-04-13 15:38:43.159,1,4.0,False,,False,True
79,0 days 01:33:43.921000,LEC,16,97.666,23.0,2.0,,,0 days 00:00:31.263000,0 days 00:00:42.373000,0 days 00:00:24.030000,0 days 01:32:37.502000,0 days 01:33:19.875000,0 days 01:33:43.905000,,257.0,289.0,302.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:32:06.255000,2025-04-13 15:40:20.522,1,4.0,False,,False,True
80,0 days 01:35:21.934000,LEC,16,98.013,24.0,2.0,,,0 days 00:00:31.349000,0 days 00:00:42.594000,0 days 00:00:24.070000,0 days 01:34:15.254000,0 days 01:34:57.848000,0 days 01:35:21.918000,232.0,251.0,287.0,327.0,False,MEDIUM,7.0,True,Ferrari,0 days 01:33:43.921000,2025-04-13 15:41:58.188,1,4.0,False,,False,True
81,0 days 01:36:59.386000,LEC,16,97.452,25.0,2.0,,,0 days 00:00:31.003000,0 days 00:00:42.339000,0 days 00:00:24.110000,0 days 01:35:52.921000,0 days 01:36:35.260000,0 days 01:36:59.370000,231.0,246.0,281.0,310.0,False,MEDIUM,8.0,True,Ferrari,0 days 01:35:21.934000,2025-04-13 15:43:36.201,1,3.0,False,,False,True
82,0 days 01:38:36.862000,LEC,16,97.476,26.0,2.0,,,0 days 00:00:31.266000,0 days 00:00:42.274000,0 days 00:00:23.936000,0 days 01:37:30.636000,0 days 01:38:12.910000,0 days 01:38:36.846000,232.0,250.0,282.0,297.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:36:59.386000,2025-04-13 15:45:13.653,1,3.0,False,,False,True
83,0 days 01:40:14.809000,LEC,16,97.947,27.0,2.0,,,0 days 00:00:31.317000,0 days 00:00:42.358000,0 days 00:00:24.272000,0 days 01:39:08.163000,0 days 01:39:50.521000,0 days 01:40:14.793000,230.0,259.0,281.0,,False,MEDIUM,10.0,True,Ferrari,0 days 01:38:36.862000,2025-04-13 15:46:51.129,1,3.0,False,,False,True
84,0 days 01:41:52.914000,LEC,16,98.105,28.0,2.0,,,0 days 00:00:31.487000,0 days 00:00:42.443000,0 days 00:00:24.175000,0 days 01:40:46.280000,0 days 01:41:28.723000,0 days 01:41:52.898000,231.0,253.0,282.0,295.0,False,MEDIUM,11.0,True,Ferrari,0 days 01:40:14.809000,2025-04-13 15:48:29.076,1,3.0,False,,False,True
85,0 days 01:43:30.695000,LEC,16,97.781,29.0,2.0,,,0 days 00:00:31.339000,0 days 00:00:42.247000,0 days 00:00:24.195000,0 days 01:42:24.237000,0 days 01:43:06.484000,0 days 01:43:30.679000,,256.0,281.0,298.0,False,MEDIUM,12.0,True,Ferrari,0 days 01:41:52.914000,2025-04-13 15:50:07.181,1,3.0,False,,False,True
86,0 days 01:45:08.314000,LEC,16,97.619,30.0,2.0,,,0 days 00:00:31.483000,0 days 00:00:42.092000,0 days 00:00:24.044000,0 days 01:44:02.162000,0 days 01:44:44.254000,0 days 01:45:08.298000,230.0,259.0,283.0,296.0,False,MEDIUM,13.0,True,Ferrari,0 days 01:43:30.695000,2025-04-13 15:51:44.962,1,3.0,False,,False,True
87,0 days 01:46:46.362000,LEC,16,98.048,31.0,2.0,,,0 days 00:00:31.441000,0 days 00:00:42.434000,0 days 00:00:24.173000,0 days 01:45:39.739000,0 days 01:46:22.173000,0 days 01:46:46.346000,232.0,252.0,281.0,274.0,False,MEDIUM,14.0,True,Ferrari,0 days 01:45:08.314000,2025-04-13 15:53:22.581,1,3.0,False,,False,True
88,0 days 01:48:37.478000,LEC,16,111.116,32.0,2.0,,0 days 01:48:35.804000,0 days 00:00:31.341000,0 days 00:00:45.608000,0 days 00:00:34.167000,0 days 01:47:17.687000,0 days 01:48:03.295000,0 days 01:48:37.462000,,101.0,,300.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:46:46.362000,2025-04-13 15:55:00.629,14,3.0,False,,False,False
