,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
42,0 days 01:57:22.748000,VER,1,80.134,43.0,3.0,,,0 days 00:00:23.436000,0 days 00:00:32.388000,0 days 00:00:24.310000,0 days 01:56:26.046000,0 days 01:56:58.434000,0 days 01:57:22.744000,270.0,269.0,287.0,314.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:56:02.614000,2025-06-01 14:00:06.812,1,3.0,False,,False,True
43,0 days 01:58:42.588000,VER,1,79.84,44.0,3.0,,,0 days 00:00:23.298000,0 days 00:00:32.335000,0 days 00:00:24.207000,0 days 01:57:46.042000,0 days 01:58:18.377000,0 days 01:58:42.584000,274.0,280.0,285.0,331.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:57:22.748000,2025-06-01 14:01:26.946,1,3.0,False,,False,True
44,0 days 02:00:02.889000,VER,1,80.301,45.0,3.0,,,0 days 00:00:23.659000,0 days 00:00:32.452000,0 days 00:00:24.190000,0 days 01:59:06.243000,0 days 01:59:38.695000,0 days 02:00:02.885000,271.0,273.0,284.0,310.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:58:42.588000,2025-06-01 14:02:46.786,1,3.0,False,,False,True
45,0 days 02:01:23.256000,VER,1,80.367,46.0,3.0,,,0 days 00:00:23.664000,0 days 00:00:32.206000,0 days 00:00:24.497000,0 days 02:00:26.549000,0 days 02:00:58.755000,0 days 02:01:23.252000,270.0,283.0,283.0,,False,MEDIUM,17.0,True,Red Bull Racing,0 days 02:00:02.889000,2025-06-01 14:04:07.087,1,3.0,False,,False,True
46,0 days 02:02:46.814000,VER,1,83.558,47.0,3.0,,0 days 02:02:44.158000,0 days 00:00:23.728000,0 days 00:00:32.149000,0 days 00:00:27.681000,0 days 02:01:46.980000,0 days 02:02:19.129000,0 days 02:02:46.810000,274.0,279.0,,315.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 02:01:23.256000,2025-06-01 14:05:27.454,1,3.0,False,,False,False
47,0 days 02:04:22.729000,VER,1,95.915,48.0,4.0,0 days 02:03:05.962000,,0 days 00:00:41.938000,0 days 00:00:30.996000,0 days 00:00:22.981000,0 days 02:03:28.748000,0 days 02:03:59.744000,0 days 02:04:22.725000,272.0,276.0,286.0,253.0,False,SOFT,4.0,False,Red Bull Racing,0 days 02:02:46.814000,2025-06-01 14:06:51.012,1,3.0,False,,False,False
48,0 days 02:05:39.870000,VER,1,77.141,49.0,4.0,,,0 days 00:00:22.900000,0 days 00:00:31.039000,0 days 00:00:23.202000,0 days 02:04:45.625000,0 days 02:05:16.664000,0 days 02:05:39.866000,274.0,294.0,294.0,306.0,True,SOFT,5.0,False,Red Bull Racing,0 days 02:04:22.729000,2025-06-01 14:08:26.927,1,3.0,False,,False,True
49,0 days 02:06:57.867000,VER,1,77.997,50.0,4.0,,,0 days 00:00:22.886000,0 days 00:00:31.646000,0 days 00:00:23.465000,0 days 02:06:02.752000,0 days 02:06:34.398000,0 days 02:06:57.863000,270.0,270.0,286.0,341.0,False,SOFT,6.0,False,Red Bull Racing,0 days 02:05:39.870000,2025-06-01 14:09:44.068,1,3.0,False,,False,True
50,0 days 02:08:16.601000,VER,1,78.734,51.0,4.0,,,0 days 00:00:23.240000,0 days 00:00:31.725000,0 days 00:00:23.769000,0 days 02:07:21.103000,0 days 02:07:52.828000,0 days 02:08:16.597000,269.0,276.0,291.0,314.0,False,SOFT,7.0,False,Red Bull Racing,0 days 02:06:57.867000,2025-06-01 14:11:02.065,1,3.0,False,,False,True
51,0 days 02:09:35.283000,VER,1,78.682,52.0,4.0,,,0 days 00:00:22.719000,0 days 00:00:32.226000,0 days 00:00:23.737000,0 days 02:08:39.316000,0 days 02:09:11.542000,0 days 02:09:35.279000,276.0,274.0,286.0,338.0,False,SOFT,8.0,False,Red Bull Racing,0 days 02:08:16.601000,2025-06-01 14:12:20.799,1,3.0,False,,False,True
